technician_id,technician_name,service_type,city,experience_years,rating,number_of_reviews,base_price_EGP,availability_status,completed_jobs
TECH-2824,Mohamed Ali,Appliance Repair,Tanta,8,3.5,90,210,Available,357
TECH-9935,Youssef Nasser,Painting,Luxor,2,3.3,21,450,Busy,62
TECH-9279,Ashraf Nasr,Plumbing,Ismailia,7,3.8,110,620,Available,195
TECH-7873,Ramy Tawfik,Carpentry,Port Said,9,3.6,87,1020,Busy,252
TECH-3615,Alaa El-Sayed,Carpentry,Aswan,9,3.5,21,400,Available,82
TECH-6514,Amr Fathy,Plumbing,Luxor,4,2.7,27,380,Available,158
TECH-5333,Mahmoud Ibrahim,Appliance Repair,Zagazig,18,3.9,88,160,Available,1000
TECH-2291,Karim Donia,Air Conditioning,Asyut,20,4.4,246,1360,Available,272
TECH-4150,Ibrahim Yehia,Plumbing,Cairo,8,3.1,100,650,Available,141
TECH-4814,Amr Fathy,Carpentry,Tanta,15,4.2,134,850,Available,459
TECH-7065,George Naguib,Electrical,Suez,9,3.2,191,760,Available,313
TECH-2169,Ashraf Nasr,Appliance Repair,Alexandria,18,3.9,290,460,Busy,300
TECH-7216,Ayman Lotfy,Appliance Repair,Faiyum,18,4.4,39,210,Available,271
TECH-1916,Ramy Tawfik,Plumbing,Minya,11,3.7,172,410,Busy,413
TECH-6155,Wael Hamdy,Appliance Repair,Zagazig,13,3.8,136,540,Available,166
TECH-3340,Hany Soliman,Electrical,Mansoura,18,4,174,630,Available,915
TECH-8019,Hazem Baraka,Carpentry,Aswan,8,3.4,25,1200,Busy,318
TECH-9085,Youssef Nasser,Plumbing,Asyut,4,2.7,34,250,Busy,176
TECH-7916,Ashraf Nasr,Plumbing,Luxor,13,4.2,216,540,Available,291
TECH-5119,Karim Donia,Plumbing,Suez,4,2.8,54,590,Available,198
TECH-5371,Fathi El-Sharif,Appliance Repair,Aswan,4,2.7,44,250,Busy,73
TECH-1053,Hesham El-Masry,Appliance Repair,Tanta,17,3.7,273,480,Available,940
TECH-2743,Salah El-Hadad,Air Conditioning,Asyut,17,4.2,289,1030,Busy,687
TECH-3646,Anwar Elias,Painting,Sohag,1,2.3,13,1360,Available,58
TECH-2832,Samy Wahba,Air Conditioning,Mansoura,2,2.7,39,590,Available,0
TECH-2290,Youssef Nasser,Appliance Repair,Zagazig,3,3.1,37,590,Available,91
TECH-3060,Hossam El-Din,Appliance Repair,Zagazig,18,4.3,37,180,Available,570
TECH-7932,Wael Hamdy,Painting,Minya,7,3.3,135,1540,Available,190
TECH-7118,Nabil Shawky,Painting,Zagazig,4,2.6,37,800,Busy,194
